time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl
1923,777,206,397824,0.002530503668822348,-0.756768275052309,0.24853515625,0.2,-68.66346740722656,3104,-0.016514776274561882,0.0003,1.2668231325063672e-08,0.024204005
1926,778,206,398336,0.002521389746107161,-0.7722837906330824,0.14892578125,0.2,-61.20695114135742,3108,-0.0050158207304775715,0.0003,7.84059304981266e-09,0.011151072
1928,779,206,398848,0.005316612194292247,-0.7869239486753941,0.14794921875,0.2,-68.87553405761719,3112,0.006291820202022791,0.0003,1.0289868582202821e-08,0.008746009
1931,780,206,399360,0.004767369595356286,-0.8027127105742693,0.1943359375,0.2,-50.53308868408203,3116,0.0031678699888288975,0.0003,1.235795749066071e-08,0.011650763
1933,781,206,399872,0.0017637843266129494,-0.8313163928687572,0.1240234375,0.2,-90.52654266357422,3120,-0.005030226428061724,0.0003,1.2847193170406612e-08,0.010294639
1935,782,206,400384,0.009926707745762542,-0.8458851389586926,0.25,0.2,-12.476373672485352,3124,0.005724827293306589,0.0003,9.59815968371025e-09,0.030373741
1938,783,206,400896,0.0021701696678064764,-0.8352025579661131,0.1904296875,0.2,-44.5252685546875,3128,-0.01238622423261404,0.0003,9.889521007666602e-09,0.00665428
1940,784,206,401408,0.008979549049399793,-0.8606703020632267,0.2578125,0.2,-44.17754364013672,3132,-0.004346519708633423,0.0003,8.2936576356607e-09,0.062749036
1943,785,206,401920,0.004843787057325244,-0.8680127616971731,0.224609375,0.2,-55.399654388427734,3136,-0.009358900599181652,0.0003,1.0163726998912992e-08,0.008782236
1945,786,206,402432,-0.00024233278236351907,-0.8152228128165007,0.12939453125,0.2,-13.185516357421875,3140,-0.0012417449615895748,0.0003,1.1413072500965349e-08,0.011205198
1948,787,206,402944,0.0007103410898707807,-0.8383969143033028,0.1025390625,0.2,-87.29818725585938,3144,-0.01726633310317993,0.0003,8.460059847115176e-09,0.005568849
1950,788,206,403456,-0.0012635307793971151,-0.8167757075279951,0.27685546875,0.2,-46.04448318481445,3148,0.0718146488070488,0.0003,1.1117475356980933e-08,0.06291136
1953,789,206,403968,0.004625051253242418,-0.8328137621283531,0.19140625,0.2,-32.25411605834961,3152,0.007073490880429745,0.0003,6.213559972101379e-09,0.005997836
1955,790,206,404480,0.002134779962943867,-0.8572393674403429,0.13623046875,0.2,-64.298095703125,3156,-0.013821449130773544,0.0003,7.548317141475858e-09,0.0031618914
1957,791,206,404992,0.003356603381689638,-0.8610666897147894,0.1015625,0.2,-44.70913314819336,3160,0.001106665120460093,0.0003,1.3423206046692115e-08,0.029871464
1960,792,206,405504,0.0009797841776162386,-0.8608707766979933,0.1005859375,0.2,-18.510404586791992,3164,0.0012810132466256618,0.0003,7.751350693252501e-09,0.0047233957
1962,793,206,406016,-0.0006684021791443229,-0.85883261077106,0.158203125,0.2,-58.806400299072266,3168,0.005593566689640284,0.0003,5.3221738405273555e-09,0.015482641
1965,794,206,406528,0.0019663021084852517,-0.8427596185356379,0.158203125,0.2,-101.33768463134766,3172,0.013740313239395618,0.0003,5.728535097324072e-08,0.009005747
